%% LaTeX2e file `BM.dat'
%% generated by the `filecontents' environment
%% from source `LR_7' on 2019/12/19.
%%
1000 0.05021
2000 0.10333
3000 0.14246
4000 0.18386
5000 0.2304
6000 0.25049
7000 0.28613
8000 0.32614
9000 0.33745
10000 0.38333
11000 0.38763
12000 0.41845
13000 0.4454
14000 0.46104
15000 0.52108
16000 0.59617
17000 0.58226
18000 0.54897
19000 0.67526
20000 0.60974
21000 0.59641
22000 0.58538
23000 0.58578
24000 0.65109
25000 0.62176
26000 0.60788
27000 0.68945
28000 0.73583
29000 0.72946
30000 0.68067
31000 0.79123
32000 0.81923
33000 0.74915
34000 0.71016
35000 0.79035
36000 0.69165
37000 0.72152
38000 0.7604
39000 0.80432
40000 0.7974
41000 0.82408
42000 0.76277
43000 0.83605
44000 0.74682
45000 0.62926
46000 0.76459
47000 0.84771
48000 0.8617
49000 0.83173
50000 0.75165
51000 0.90671
52000 0.68973
53000 0.63738
54000 0.79733
55000 0.94159
56000 0.98736
57000 0.85572
58000 0.76616
59000 0.90803
60000 0.77089
61000 0.79591
62000 0.90989
63000 0.77444
64000 1.07251
65000 0.78637
66000 0.87735
67000 0.96987
68000 0.73454
69000 0.81175
70000 0.8282
71000 0.9925
72000 0.96211
73000 0.81362
74000 0.87648
75000 0.90177
76000 0.9821
77000 1.03366
78000 0.83104
79000 0.72252
80000 0.83278
81000 0.93452
82000 0.79165
83000 0.97315
84000 1.03412
85000 1.02488
86000 1.05573
87000 0.81953
88000 0.87096
89000 0.94958
90000 0.68594
91000 0.83203
92000 0.97121
93000 0.82933
94000 0.93421
95000 0.94097
96000 0.96306
97000 0.90675
98000 1.04509
99000 0.85769
100000 0.94807
